route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
4,9914:8-7-32,STAN-S1-3_63543908,"Houd. Porte Sud",,0,403,9914$STAN-67$23,,
1,9914:5-7-127,STAN-S1-0_53553605,"Essey Mouzimpré",,0,114,9914$STAN-61$1,,
4,9914:8-7-32,STAN-S1-3_63543909,"Houd. Porte Sud",,0,406,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543910,"Houd. Porte Sud",,0,408,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543916,"Houd. Porte Sud",,0,410,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544954,"Houd. Porte Sud",,0,402,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544955,"Houd. Porte Sud",,0,401,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544956,"Houd. Porte Sud",,0,403,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544957,"Houd. Porte Sud",,0,409,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544958,"Houd. Porte Sud",,0,402,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544959,"Houd. Porte Sud",,0,405,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544963,"Houd. Porte Sud",,0,402,9914$STAN-67$23,,
1,9914:5-7-127,STAN-S1-0_53553606,"Essey Mouzimpré",,0,104,9914$STAN-61$1,,
4,9914:9-7-127,STAN-S1-4_13544964,"Houd. Porte Sud",,0,410,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544965,"Houd. Porte Sud",,0,412,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544966,"Houd. Porte Sud",,0,401,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544967,"Houd. Porte Sud",,0,414,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544968,"Houd. Porte Sud",,0,409,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544969,"Houd. Porte Sud",,0,408,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544970,"Houd. Porte Sud",,0,406,9914$STAN-67$23,,
